#Types Before Cut: 11091
#Types After Cut: 9694
#Search Hits: 0
243	13	34.141	учились
244	25	34.115	татьяна
245	28	34.028	обычно
246	20	33.405	другому
247	17	33.113	пошла
248	15	32.539	будешь
249	15	32.539	понял
250	15	32.539	поняла
251	28	32.186	таки
252	24	32.054	принципе
253	34	32.029	голос
254	18	31.928	дом
255	12	31.515	берег
256	12	31.515	весело
257	12	31.515	детстве
258	12	31.515	квартиру
259	12	31.515	круто
260	12	31.515	любят
261	12	31.515	поговорить
262	12	31.515	пятьдесят
263	12	31.515	смешно
264	113	31.388	даже
265	36	31.339	две
266	49	31.283	всегда
267	19	31.152	зачем
268	16	30.716	школа
269	16	30.716	языке
270	20	30.638	дочка
271	21	30.307	хоть
272	21	30.307	язык
273	14	30.046	домой
274	17	29.618	давайте
275	11	28.889	inan
276	11	28.889	давали
277	11	28.889	девочки
278	11	28.889	девяносто
279	11	28.889	здорово
280	11	28.889	знала
281	11	28.889	кадра
282	11	28.889	классно
283	11	28.889	кхм
284	11	28.889	понимаешь
285	11	28.889	расскажу
286	11	28.889	рассказчик
287	11	28.889	смеётся
288	11	28.889	смотри
289	11	28.889	соседка
290	11	28.889	училась
291	11	28.889	холодно
292	19	28.469	младший
293	26	28.405	самое
294	26	28.405	смысле
295	15	28.332	играть
296	21	28.047	жить
297	13	27.563	концерт
298	13	27.563	семья
299	13	27.563	ходить
300	13	27.563	честно
301	16	27.326	видео
302	156	27.233	или
303	17	26.703	моей
304	18	26.321	понимаю
305	10	26.263	бывают
306	10	26.263	вкус
307	10	26.263	восемьдесят
308	10	26.263	дед
309	10	26.263	дедушка
310	10	26.263	ехать
311	10	26.263	забыл
312	10	26.263	иии
313	10	26.263	картинка
314	10	26.263	кашель
315	10	26.263	нуу
316	10	26.263	озеро
317	10	26.263	пол
318	10	26.263	прикольно
319	10	26.263	ребята
320	10	26.263	своё
321	10	26.263	слушай
322	10	26.263	смешок
323	10	26.263	собака
324	10	26.263	ушёл
325	19	26.105	н
326	19	26.105	слово
327	22	26.066	какую
328	22	26.066	часов
329	14	25.964	собственно
330	27	25.561	моя
331	12	25.091	вдруг
332	12	25.091	делаю
333	12	25.091	купил
334	15	25.054	ж
335	146	24.529	был
336	16	24.511	читать
337	18	24.040	тему
338	20	24.035	друг
339	20	24.035	места
340	50	24.015	день
341	35	23.923	четыре
342	39	23.790	людей
343	9	23.636	n
344	9	23.636	ар
345	9	23.636	видишь
346	9	23.636	грустный
347	9	23.636	двенадцать
348	9	23.636	двести
349	9	23.636	женщина
350	9	23.636	кошки
351	9	23.636	папа
352	9	23.636	переехали
353	9	23.636	подожди
354	9	23.636	смесь
355	9	23.636	танцами
356	9	23.636	твой
357	9	23.636	учителя
358	9	23.636	чай
359	9	23.636	эмм
360	29	23.624	старший
361	13	23.614	какими
362	13	23.614	маленький
363	13	23.614	машина
364	13	23.614	смотреть
365	27	22.857	каждый
366	27	22.857	слова
367	14	22.804	d
368	14	22.804	вещи
369	14	22.804	мои
370	14	22.804	хотелось
371	11	22.631	квартире
372	21	22.432	долго
373	36	22.395	одна
374	16	22.101	девять
375	28	22.019	совсем
376	18	22.011	русский
377	17	22.004	кем
378	29	21.291	сама
379	12	21.285	нравятся
380	8	21.010	acc
381	8	21.010	komm
382	8	21.010	nom
383	8	21.010	ааa
384	8	21.010	английский
385	8	21.010	брови
386	8	21.010	вертолет
387	8	21.010	говорящийа
388	8	21.010	говорящийб
389	8	21.010	грустно
390	8	21.010	делаешь
391	8	21.010	егэ
392	8	21.010	замечательно
